task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
54	d5/3e1555	3973356	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_QC:ODGI_STATS (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.4.seqwish)	COMPLETED	0	2024-04-04 16:05:44.862	99ms	26ms	110.8%	0	0	374.4 KB	1.2 KB
50	01/15329e	3968087	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_BUILD (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.3.seqwish)	COMPLETED	0	2024-04-04 16:05:43.631	1.6s	1.5s	2.6%	9.7 MB	66.9 MB	363.7 KB	171 KB
55	6d/4f7b47	3982861	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_QC:ODGI_STATS (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.3.seqwish)	COMPLETED	0	2024-04-04 16:05:46.213	117ms	22ms	128.6%	0	0	368.7 KB	1.2 KB
38	ce/a89216	3957053	NFCORE_PANGENOME:PANGENOME:PGGB:SMOOTHXG (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6)	COMPLETED	0	2024-04-04 16:05:41.812	7.6s	7.6s	184.2%	125.2 MB	416.7 MB	692.7 KB	2.9 MB
56	5f/712140	4009329	NFCORE_PANGENOME:PANGENOME:PGGB:GFAFFIX (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6)	COMPLETED	0	2024-04-04 16:05:50.461	87ms	15ms	126.3%	0	0	509 KB	152.1 KB
41	5c/739d14	3964639	NFCORE_PANGENOME:PANGENOME:PGGB:SMOOTHXG (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1)	COMPLETED	0	2024-04-04 16:05:43.371	8.8s	8.7s	163.4%	207.1 MB	560.5 MB	700.6 KB	2.9 MB
58	52/9455d1	4027450	NFCORE_PANGENOME:PANGENOME:PGGB:GFAFFIX (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1)	COMPLETED	0	2024-04-04 16:05:52.162	88ms	14ms	86.5%	0	0	517.8 KB	154.3 KB
35	5d/704dd3	3956408	NFCORE_PANGENOME:PANGENOME:PGGB:SMOOTHXG (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2)	COMPLETED	0	2024-04-04 16:05:41.569	11.2s	11.1s	197.8%	351.6 MB	924.4 MB	704.2 KB	2.7 MB
60	6f/3f9d86	4028590	NFCORE_PANGENOME:PANGENOME:PGGB:GFAFFIX (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2)	COMPLETED	0	2024-04-04 16:05:52.792	87ms	16ms	86.5%	0	0	520.8 KB	158.3 KB
44	31/6962ab	3973184	NFCORE_PANGENOME:PANGENOME:PGGB:SMOOTHXG (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5)	COMPLETED	0	2024-04-04 16:05:44.854	8.3s	8.2s	170.6%	219.3 MB	560.4 MB	685.5 KB	2.7 MB
57	53/212809	4023187	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_BUILD (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6.gfaffix)	COMPLETED	0	2024-04-04 16:05:51.554	1.6s	1.5s	2.6%	9.3 MB	58.9 MB	350.2 KB	155 KB
